Datum,Match-up,Bet,Fair,Bookie,Edge,Uitslag,G/F,Result,Inzet,Winst/Verlies,Notitie
05/04/26,,Alaves Draw,2.95,3.2,7.81,2-2,G,1,5,11,G (2-2)
05/04/26,,Alaves Under 2.5,1.49,1.67,10.78,2-2,F,0,20,-20,F (2-2)
Dagtotaal 05/04/26,,,,,,,,,360.00,96.55,ROI 26.8% · 30 plays

06/04/26,,Como Win,1.7,1.7,0.00,0-0,F,0,15,-15,F (0-0)
06/04/26,,Como Over 2.5,2,2.05,2.44,0-0,F,0,10,-10,F (0-0)
06/04/26,,Como over 1.5,1.31,1.33,1.50,0-0,F,X,,,F (0-0)
06/04/26,,Lecce Gelijk,3,3.75,20.00,0-3,F,0,5,-5,F (0-3)
06/04/26,,Lecce Under 2.5,1.43,1.83,21.86,0-3,F,0,20,-20,F (0-3)
06/04/26,,Lecce under 3.5,1.15,1.3,11.54,0-3,G,X,,,G (0-3)
06/04/26,,Lecce Under 1.5,2.44,3.5,30.29,0-3,F,X,,,F (0-3)
06/04/26,,Lecce +0.5,1.93,2.1,8.10,0-3,F,X,,,F (0-3)
06/04/26,,Lecce +1.5,1.3,1.38,5.80,0-3,F,X,,,F (0-3)
06/04/26,,Genoa Win,8.39,9.5,11.68,,,0,2.5,-2.5,
06/04/26,,Genoa Over 1.5,1.18,1.29,8.53,,,X,,,
06/04/26,,Genoa Over 2.5,1.58,1.95,18.97,,,0,15,-15,
06/04/26,,Genoa Over 3.5,2.42,3.2,24.38,,,X,,,
06/04/26,,AC Milan Win,2.73,3.1,11.94,,,0,5,-5,
06/04/26,,AC Milan over 1.5,1.29,1.4,8.53,,,X,,,
06/04/26,,AC Milan over 2.5,1.92,2.3,19.79,,,0,10,-10,
06/04/26,,AC Milan over 3.5,3.35,4.33,29.25,,,X,,,
06/04/26,,AC Milan +0.5,1.53,1.55,1.31,,,X,,,
06/04/26,,Estoril Win,2.32,2.65,14.22,,,0,5,-5,
06/04/26,,Estoril Over 1.5,1.12,1.22,8.93,,,X,,,
06/04/26,,Estoril Over 2.5,1.4,1.75,25.00,,,1,20,15,
06/04/26,,Estoril Over 3.5,1.97,2.75,39.59,,,X,,,
06/04/26,,Estoril Over 4.5,3.19,5.5,72.41,,,X,,,
06/04/26,,Estoril +0.5,1.5,1.53,2.00,,,X,,,
06/04/26,,Casa Pia Win,9.61,12,24.87,,,0,2.5,-2.5,
06/04/26,,Casa Pia Draw,5.4,6,11.11,,,1,2.5,12.5,
06/04/26,,Casa Pia +0.5,3.46,4.15,19.94,,,X,,,
06/04/26,,Casa Pia +1.5,1.98,2.2,11.11,,,X,,,
06/04/26,,Casa Pia +2.5,1.4,1.48,5.71,,,X,,,
06/04/26,,Casa Pia +3.5,1.16,1.18,1.72,,,X,,,
06/04/26,,Villarreal Win,1.98,2.25,13.64,,,0,10,-10,
06/04/26,,Villarreal Over 1.5,1.21,1.22,0.83,,,X,,,
06/04/26,,Villareal Over 2.5,1.67,1.67,0.00,,,0,15,-15,
